Police;Montant
1000110433;3646
1000110434;7018
1000110435;13
1000110436;515
1000110438;785
1000110439;2804
1000110440;2029
1000110441;1698
1000110442;2175
1000110443;46688
1000110444;3620
1000110445;4782
1000110446;1988
1000110447;9275
1000110448;21737
1000110450;1612
1000110451;6174
1000110452;49138
1000110453;36856
1000110454;6936
1000110455;27249
1000110456;2396
1000110457;4045
1000110458;166370
1000110459;1869
1000110460;7341
1000110462;1459
1000110463;38541
1000110464;19605
1000110465;23657
1000110466;21645
1000110467;1716
1000110468;2804
1000110469;1446
1000110470;4164
1000110475;93967
1000110476;2046
1000110477;2615
1000110478;1580
1000110479;13749
1000110480;1457
1000110481;1742
1000110483;17
1000110484;104019
1000110485;1988
1000110487;7763
1000110488;40435
1000110489;4843
1000110490;1605
1000110491;3675
1000110492;22912
1000110493;4957
1000110494;5133
1000110495;1444
1000110496;2581
1000110497;29717
1000110498;72819
1000110499;4915
1000110500;415
1000110501;2094
1000110502;6611
1000110503;12660
1000110504;8392
1000110505;4979
1000110506;5015
1000110507;3239
1000110508;1243
1000110509;4821
1000110510;30705
1000110511;766
1000110512;4853
1000110513;2124
1000110515;1036
1000110516;4142
1000110517;5115
1000110518;1725
1000110520;900
1000110521;1308
1000110522;4299
1000110523;1861
1000110524;2938
1000110525;54
1000110526;4230
1000110527;576
1000110528;7415
1000110529;4814
1000110530;5
1000110531;1346
1000110532;22141
1000110533;7563
1000110534;1172
1000110536;7314
1000110538;20313
1000110539;2940
1000110540;4604
1000110541;40
1000110543;9079
1000110544;7291
1000110547;3212
1000110549;6070
1000110550;154005
1000110551;8618
1000110552;1355
1000110554;207432
1000110556;4806
1000110557;213
1000110558;5179
1000110559;1179
1000110561;5160
1000110562;1882
1000110563;1865
1000110564;12709
1000110566;1039
1000110567;3319
1000110568;17
1000110569;16826
1000110570;16
1000110571;4619
1000110572;337
1000110573;4921
1000110574;60092
1000110575;515
1000110576;7856
1000110577;771
1000110578;13533
1000110579;33422
1000110580;4402
1000110581;30933
1000110582;160127
1000110583;2065
1000110585;4097
1000110586;5947
1000110587;4106
1000110588;47413
1000110589;4133
1000110590;10916
1000110591;1580
1000110593;3862
1000110594;1988
1000110596;3409
1000110597;3842
1000110598;765
1000110599;67674
1000110600;2124
1000110601;17694
1000110602;6633
1000110603;9979
1000110604;5358
1000110605;43384
1000110606;4880
1000110607;19242
1000110608;12096
1000110609;6724
1000110610;31
1000110611;1580
1000110612;8221
1000110613;1852
1000110614;65034
1000110615;742
1000110616;3912
1000110617;45047
1000110618;7983
1000110619;2566
1000110620;1565
1000110621;2124
1000110622;10837
1000110623;5426
1000110625;2095
1000110626;1660
1000110627;4298
1000110628;13771
1000110630;3348
1000110631;1687
1000110632;2260
1000110633;6444
1000110634;5397
1000110635;51584
1000110636;406
1000110637;1771
1000110638;5358
1000110639;3732
1000110640;2941
1000110641;2668
1000110642;5041
1000110643;97140
1000110644;14279
1000110645;14901
1000110647;5902
1000110648;1776
1000110649;1480
1000110650;2265
1000110651;6310
1000110652;1765
1000110653;4405
1000110654;3999
1000110655;54293
1000110656;3348
1000110657;2260
1000110659;6848
1000110661;2769
1000110662;5668
1000110664;7223
1000110665;7678
1000110666;5806
1000110667;1172
1000110668;9602
1000110669;5132
1000110670;8998
1000110671;31951
1000110672;12221
1000110673;9908
1000110674;31590
1000110675;18421
1000110676;1589
1000110677;775
1000110678;8
1000110679;4707
1000110680;5175
1000110681;18991
1000110682;5319
1000110683;8922
1000110684;515
1000110686;10199
1000110687;765
1000110688;9163
1000110689;30981
1000110690;2953
1000110691;8
1000110692;10673
1000110693;23599
1000110694;1963
1000110695;4545
1000110696;1216
1000110697;2911
1000110698;2639
1000110699;20977
1000110700;2006
1000110701;111235
1000110702;6718
1000110703;5014
1000110705;9471
1000110706;17040
1000110707;3000
1000110708;18809
1000110709;70578
1000110710;5931
1000110711;75592
1000110712;39484
1000110713;11636
1000110714;3416
1000110715;1038
1000110716;97200
1000110717;63390
1000110718;3212
1000110719;8399
1000110720;4814
1000110721;9336
1000110722;1852
1000110723;1959
1000110724;4571
1000110725;2288
1000110726;31141
1000110728;1362
1000110729;5874
1000110730;922
1000110731;8653
1000110732;65401
1000110733;1550
1000110734;39491
1000110736;1716
1000110737;7668
1000110738;13
1000110739;47667
1000110740;12154
1000110741;106027
1000110742;1550
1000110743;23198
1000110744;14168
1000110745;2978
1000110746;95
1000110747;4979
1000110748;34397
1000110749;4745
1000110750;26405
1000110751;27918
1000110752;2290
1000110754;17729
1000110755;186
1000110756;227
1000110757;31653
1000110758;9555
1000110759;2389
1000110760;2275
1000110761;16916
1000110763;26399
1000110764;847
1000110765;5945
1000110766;3406
1000110767;7427
1000110768;7002
1000110769;7049
1000110771;3844
1000110772;7400
1000110773;6587
1000110774;36061
1000110775;708
1000110776;1378
1000110777;10580
1000110778;895
1000110779;8384
1000110780;10199
1000110781;53478
1000110782;9215
1000110783;6587
1000110784;13248
1000110785;13148
1000110786;51428
1000110787;3643
1000110788;13176
1000110789;1321
1000110790;23981
1000110791;14
1000110792;1103528
1000110793;73349
1000110794;69502
1000110795;48024
1000110796;62055
1000110797;5402
1000110798;9854
1000110799;4841
1000110800;25804
1000110801;11485
1000110802;18817
1000110803;3592
1000110804;1002
1000110805;10045
1000110806;92349
1000110807;8922
1000110808;2600
1000110809;2875
1000110810;5357
1000110811;120150
1000110813;162529
1000110814;10419
1000110815;6763
1000110816;11320
1000110817;12061
1000110818;2529
1000110820;5129
1000110821;6453
1000110822;8932
1000110823;2176
1000110824;12347
1000110825;7722
1000110826;8823
1000110827;5690
1000110828;50029
1000110829;12265
1000110830;3364
1000110831;1737
1000110832;4314
1000110833;72377
1000110834;7651
1000110835;4271
1000110836;10153
1000110837;4900
1000110838;25586
1000110839;16124
1000110840;17916
1000110841;807
1000110842;293
1000110843;36155
1000110845;4156
1000110846;7352
1000110847;4185
1000110849;5222
1000110850;11057
1000110851;18435
1000110852;6436
1000110853;26626
1000110854;1727
1000110855;4906
1000110857;4141
1000110858;2558
1000110859;8081
1000110860;4928
1000110861;4854
1000110863;6757
1000110864;211939
1000110865;5208
1000110866;7790
1000110867;9560
1000110868;43992
1000110869;2328
1000110870;30759
1000110872;3407
1000110873;1005
1000110874;4645
1000110875;5310
1000110876;9050
1000110877;30478
1000110878;5039
1000110879;10886
1000110880;16457
1000110881;1158
1000110882;14410
1000110883;1064
1000110884;10253
1000110885;765
1000110886;3248
1000110888;2699
1000110889;7291
1000110890;19564
1000110891;29
1000110892;6662
1000110893;1003
1000110894;2647
1000110895;32569
1000110896;3677
1000110897;13308
1000110898;3895
1000110899;6668
1000110901;14361
1000110902;23193
1000110903;5806
1000110904;919
1000110906;71
1000110907;2838
1000110909;3086
1000110910;31350
1000110911;18413
1000110912;81115
1000110913;203
1000110915;12198
1000110916;18585
1000110917;13924
1000110918;11312
1000110919;5830
1000110920;6918
1000110921;5833
1000110922;119225
1000110923;2959
1000110924;35794
1000110925;7369
1000110926;5365
1000110927;22145
1000110928;18301
1000110929;4063
1000110930;2815
1000110931;7155
1000110932;8078
1000110933;7361
1000110934;71
1000110936;17153
1000110937;14647
1000110938;11024
1000110939;3348
1000110940;8895
1000110941;14927
1000110942;5026
1000110943;6890
1000110944;4407
1000110945;12648
1000110946;3348
1000110947;16371
1000110948;6132
1000110949;124
1000110950;14063
1000110951;6067
1000110952;4130
1000110954;5883
1000110955;9487
1000110956;6974
1000110957;10554
1000110958;34775
1000110959;15691
1000110960;6754
1000110961;17417
1000110962;4571
1000110963;2639
1000110964;11522
1000110965;95
1000110966;8611
1000110967;11641
1000110968;3215
1000110969;251
1000110970;31917
1000110971;5316
1000110972;98322
1000110973;16061
1000110974;4124
1000110975;21
1000110976;31480
1000110977;2911
1000110978;9413
1000110979;1631
1000110980;6182
1000110981;21838
1000110983;30295
1000110984;46625
1000110985;119763
1000110988;6649
1000110990;15033
1000110991;28058
1000110992;11148
1000110993;42041
1000110994;121411
1000110995;5370
1000110996;1415
1000110997;4979
1000110998;640
1000110999;21639
1000111101;95936
1000111102;86294
1000111103;30843
1000111105;2499
1000111106;123922
1000111107;106989
1000111108;27141
1000111109;2546
1000111110;3531
1000111111;182
1000111112;5637
1000111113;1714
1000111114;6241
1000111115;3215
1000111116;1902
1000111118;8777
1000111119;8555
1000111120;3076
1000111121;84072
1000111122;64
1000111123;2305
1000111124;7811
1000111125;3756
1000111126;68
1000111127;5251
1000111128;26001
1000111129;121
1000111130;9602
1000111131;14263
1000111132;5709
1000111134;3694
1000111135;31000
1000111137;81730
1000111138;13069
1000111139;20600
1000111141;73
1000111143;765
1000111145;250
1000111146;10010
1000111147;14060
1000111148;5063
1000111149;784
1000111150;7288
1000111151;4980
1000111152;6621
1000111153;13019
1000111154;3484
1000111155;197
1000111666;2532
1000111668;2730
1000111670;32810
1000111671;1992
1000112102;1411
1000112104;167
1000112105;6339
1000112106;81387
1000112107;10877
1000112109;1856
1000112111;16482
1000112113;4843
1000112114;86500
1000112115;2254
1000112116;14217
1000112117;42505
1000112118;13344
1000112119;85
1000112121;31630
1000112122;1697
1000112123;3627
1000112124;2079
1000112125;40124
1000112126;6213
1000112127;5708
1000112128;1583
1000112129;91500
1000112130;3947
1000112132;84804
1000112133;1988
1000112134;2967
1000112135;3237
1000112136;4541
1000112137;7532
1000112138;4815
1000112139;32638
1000112142;3065
1000112143;4047
1000112145;840
1000112146;27087
1000112147;4300
1000112148;5659
1000112153;9194
1000112155;788
1000112156;330794
1000112157;3756
1000112158;1858
1000112160;1087
1000112161;2824
1000112487;4490
1000112714;7000
1000112764;3183
1000112821;24170
1000112823;2530
1000112829;51778
1000112830;3194
1000113101;95
1000113104;3691
1000113105;3620
1000113106;1036
1000113107;4028
1000113108;114212
1000113109;2028
1000113110;1925
1000113112;26558
1000113113;1308
1000113114;6884
1000113115;2469
1000113116;1852
1000113117;6680
1000113118;5115
1000113119;13889
1000113120;4193
1000113121;6084
1000113122;15720
1000113123;24
1000113125;1036
1000113127;4843
1000113128;7866
1000113129;4187
1000113130;9
1000113131;928
1000113132;6304
1000113133;2
1000113134;900
1000113135;4176
1000113136;19337
1000113137;129500
1000113138;5143
1000113139;8484
1000113141;82135
1000113142;8005
1000113145;7172
